Id,MetricsDate,FeatureType,SystemModstamp,AssignedUserCount,ActiveUserCount,TotalLicenseCount
5H2dM000000mMlvSAE,2024-07-14,ChatterAnswersUser,1720948311000,0,0,30
5H2dM000000mMlwSAE,2024-07-14,OfflineUser,1720948311000,1,1,2
5H2dM000000mMlxSAE,2024-07-14,SFContentUser,1720948311000,1,1,5
5H2dM000000mMlySAE,2024-07-14,KnowledgeUser,1720948311000,0,0,2
5H2dM000000mMlzSAE,2024-07-14,LiveAgentUser,1720948311000,0,0,2
5H2dM000000mMm0SAE,2024-07-14,SiteforceContributorUser,1720948311000,0,0,1
5H2dM000000mMm1SAE,2024-07-14,SiteforcePublisherUser,1720948311000,0,0,2
5H2dM000000mMm2SAE,2024-07-14,MarketingUser,1720948311000,1,1,2
5H2dM000000mMm3SAE,2024-07-14,MobileUser,1720948311000,1,1,2
5H2dM000000mMm4SAE,2024-07-14,JigsawProspectingUser,1720948311000,0,0,2
5H2dM000000mMm5SAE,2024-07-14,WorkDotComUserFeature,1720948311000,0,0,5
5H2dM000000mMm6SAE,2024-07-14,InteractionUser,1720948311000,0,0,3
5H2dM000000mMm7SAE,2024-07-14,SupportUser,1720948311000,1,1,2
5H2dM0000014yyTSAQ,2024-07-21,ChatterAnswersUser,1721520559000,0,0,30
5H2dM0000014yyUSAQ,2024-07-21,OfflineUser,1721520559000,1,1,2
5H2dM0000014yyVSAQ,2024-07-21,SFContentUser,1721520559000,1,1,5
5H2dM0000014yyWSAQ,2024-07-21,KnowledgeUser,1721520559000,0,0,2
5H2dM0000014yyXSAQ,2024-07-21,LiveAgentUser,1721520559000,0,0,2
5H2dM0000014yyYSAQ,2024-07-21,SiteforceContributorUser,1721520559000,0,0,1
5H2dM0000014yyZSAQ,2024-07-21,SiteforcePublisherUser,1721520559000,0,0,2
5H2dM0000014yyaSAA,2024-07-21,MarketingUser,1721520559000,1,1,2
5H2dM0000014yybSAA,2024-07-21,MobileUser,1721520559000,1,1,2
5H2dM0000014yycSAA,2024-07-21,JigsawProspectingUser,1721520559000,0,0,2
5H2dM0000014yydSAA,2024-07-21,WorkDotComUserFeature,1721520559000,0,0,5
5H2dM0000014yyeSAA,2024-07-21,InteractionUser,1721520559000,0,0,3
5H2dM0000014yyfSAA,2024-07-21,SupportUser,1721520559000,1,1,2
5H2dM0000018bXESAY,2024-07-28,ChatterAnswersUser,1722733896000,0,0,30
5H2dM0000018bXFSAY,2024-07-28,OfflineUser,1722733896000,1,1,2
5H2dM0000018bXGSAY,2024-07-28,SFContentUser,1722733896000,1,1,5
5H2dM0000018bXHSAY,2024-07-28,KnowledgeUser,1722733896000,0,0,2
5H2dM0000018bXISAY,2024-07-28,LiveAgentUser,1722733896000,0,0,2
5H2dM0000018bXJSAY,2024-07-28,SiteforceContributorUser,1722733896000,0,0,1
5H2dM0000018bXKSAY,2024-07-28,SiteforcePublisherUser,1722733896000,0,0,2
5H2dM0000018bXLSAY,2024-07-28,MarketingUser,1722733896000,1,1,2
5H2dM0000018bXMSAY,2024-07-28,MobileUser,1722733896000,1,1,2
5H2dM0000018bXNSAY,2024-07-28,JigsawProspectingUser,1722733896000,0,0,2
5H2dM0000018bXOSAY,2024-07-28,WorkDotComUserFeature,1722733896000,0,0,5
5H2dM0000018bXPSAY,2024-07-28,InteractionUser,1722733896000,0,0,3
5H2dM0000018bXQSAY,2024-07-28,SupportUser,1722733896000,1,1,2
5H2dM000001LNNfSAO,2024-08-04,ChatterAnswersUser,1722733999000,0,0,30
5H2dM000001LNNgSAO,2024-08-04,OfflineUser,1722733999000,1,1,2
5H2dM000001LNNhSAO,2024-08-04,SFContentUser,1722733999000,1,1,5
5H2dM000001LNNiSAO,2024-08-04,KnowledgeUser,1722733999000,0,0,2
5H2dM000001LNNjSAO,2024-08-04,LiveAgentUser,1722733999000,0,0,2
5H2dM000001LNNkSAO,2024-08-04,SiteforceContributorUser,1722733999000,0,0,1
5H2dM000001LNNlSAO,2024-08-04,SiteforcePublisherUser,1722733999000,0,0,2
5H2dM000001LNNmSAO,2024-08-04,MarketingUser,1722733999000,1,1,2
5H2dM000001LNNnSAO,2024-08-04,MobileUser,1722733999000,1,1,2
5H2dM000001LNNoSAO,2024-08-04,JigsawProspectingUser,1722733999000,0,0,2
5H2dM000001LNNpSAO,2024-08-04,WorkDotComUserFeature,1722733999000,0,0,5
5H2dM000001LNNqSAO,2024-08-04,InteractionUser,1722733999000,0,0,3
5H2dM000001LNNrSAO,2024-08-04,SupportUser,1722733999000,1,1,2
5H2dM000001U35KSAS,2024-08-11,ChatterAnswersUser,1723468764000,0,0,30
5H2dM000001U35LSAS,2024-08-11,OfflineUser,1723468764000,1,1,2
5H2dM000001U35MSAS,2024-08-11,SFContentUser,1723468764000,1,1,5
5H2dM000001U35NSAS,2024-08-11,KnowledgeUser,1723468764000,0,0,2
5H2dM000001U35OSAS,2024-08-11,LiveAgentUser,1723468764000,0,0,2
5H2dM000001U35PSAS,2024-08-11,SiteforceContributorUser,1723468764000,0,0,1
5H2dM000001U35QSAS,2024-08-11,SiteforcePublisherUser,1723468764000,0,0,2
5H2dM000001U35RSAS,2024-08-11,MarketingUser,1723468764000,1,1,2
5H2dM000001U35SSAS,2024-08-11,MobileUser,1723468764000,1,1,2
5H2dM000001U35TSAS,2024-08-11,JigsawProspectingUser,1723468764000,0,0,2
5H2dM000001U35USAS,2024-08-11,WorkDotComUserFeature,1723468764000,0,0,5
5H2dM000001U35VSAS,2024-08-11,InteractionUser,1723468764000,0,0,3
5H2dM000001U35WSAS,2024-08-11,SupportUser,1723468764000,1,1,2
5H2dM000001eDFRSA2,2024-08-18,ChatterAnswersUser,1723962418000,0,0,30
5H2dM000001eDFSSA2,2024-08-18,OfflineUser,1723962418000,1,1,2
5H2dM000001eDFTSA2,2024-08-18,SFContentUser,1723962418000,1,1,5
5H2dM000001eDFUSA2,2024-08-18,KnowledgeUser,1723962418000,0,0,2
5H2dM000001eDFVSA2,2024-08-18,LiveAgentUser,1723962418000,0,0,2
5H2dM000001eDFWSA2,2024-08-18,SiteforceContributorUser,1723962418000,0,0,1
5H2dM000001eDFXSA2,2024-08-18,SiteforcePublisherUser,1723962418000,0,0,2
5H2dM000001eDFYSA2,2024-08-18,MarketingUser,1723962418000,1,1,2
5H2dM000001eDFZSA2,2024-08-18,MobileUser,1723962418000,1,1,2
5H2dM000001eDFaSAM,2024-08-18,JigsawProspectingUser,1723962418000,0,0,2
5H2dM000001eDFbSAM,2024-08-18,WorkDotComUserFeature,1723962418000,0,0,5
5H2dM000001eDFcSAM,2024-08-18,InteractionUser,1723962418000,0,0,3
5H2dM000001eDFdSAM,2024-08-18,SupportUser,1723962418000,1,1,2
5H2dM000001wtaySAA,2024-08-25,ChatterAnswersUser,1724851164000,0,0,30
5H2dM000001wtazSAA,2024-08-25,OfflineUser,1724851164000,1,1,2
5H2dM000001wtb0SAA,2024-08-25,SFContentUser,1724851164000,1,1,5
5H2dM000001wtb1SAA,2024-08-25,KnowledgeUser,1724851164000,0,0,2
5H2dM000001wtb2SAA,2024-08-25,LiveAgentUser,1724851164000,0,0,2
5H2dM000001wtb3SAA,2024-08-25,SiteforceContributorUser,1724851164000,0,0,1
5H2dM000001wtb4SAA,2024-08-25,SiteforcePublisherUser,1724851164000,0,0,2
5H2dM000001wtb5SAA,2024-08-25,MarketingUser,1724851164000,1,1,2
5H2dM000001wtb6SAA,2024-08-25,MobileUser,1724851164000,1,1,2
5H2dM000001wtb7SAA,2024-08-25,JigsawProspectingUser,1724851164000,0,0,2
5H2dM000001wtb8SAA,2024-08-25,WorkDotComUserFeature,1724851164000,0,0,5
5H2dM000001wtb9SAA,2024-08-25,InteractionUser,1724851164000,0,0,3
5H2dM000001wtbASAQ,2024-08-25,SupportUser,1724851164000,1,1,2
5H2dM000002FNnLSAW,2024-09-01,ChatterAnswersUser,1725289302000,0,0,30
5H2dM000002FNnMSAW,2024-09-01,OfflineUser,1725289302000,1,1,2
5H2dM000002FNnNSAW,2024-09-01,SFContentUser,1725289302000,1,1,5
5H2dM000002FNnOSAW,2024-09-01,KnowledgeUser,1725289302000,0,0,2
5H2dM000002FNnPSAW,2024-09-01,LiveAgentUser,1725289302000,0,0,2
5H2dM000002FNnQSAW,2024-09-01,SiteforceContributorUser,1725289302000,0,0,1
5H2dM000002FNnRSAW,2024-09-01,SiteforcePublisherUser,1725289302000,0,0,2
5H2dM000002FNnSSAW,2024-09-01,MarketingUser,1725289302000,1,1,2
5H2dM000002FNnTSAW,2024-09-01,MobileUser,1725289302000,1,1,2
5H2dM000002FNnUSAW,2024-09-01,JigsawProspectingUser,1725289302000,0,0,2
5H2dM000002FNnVSAW,2024-09-01,WorkDotComUserFeature,1725289302000,0,0,5
5H2dM000002FNnWSAW,2024-09-01,InteractionUser,1725289302000,0,0,3
5H2dM000002FNnXSAW,2024-09-01,SupportUser,1725289302000,1,1,2
5H2dM000002RbwzSAC,2024-09-08,ChatterAnswersUser,1726150864000,0,0,30
5H2dM000002Rbx0SAC,2024-09-08,OfflineUser,1726150864000,1,1,2
5H2dM000002Rbx1SAC,2024-09-08,SFContentUser,1726150864000,1,1,5
5H2dM000002Rbx2SAC,2024-09-08,KnowledgeUser,1726150864000,0,0,2
5H2dM000002Rbx3SAC,2024-09-08,LiveAgentUser,1726150864000,0,0,2
5H2dM000002Rbx4SAC,2024-09-08,SiteforceContributorUser,1726150864000,0,0,1
