Id,IsDeleted,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,SortOrder,Name,NamespacePrefix,Label,Description,StartUrl,MobileStartUrl,LogoUrl,IconUrl,InfoUrl,IsUsingAdminAuthorization,MobilePlatform,MobileMinOsVer,MobileDeviceType,IsRegisteredDeviceOnly,MobileAppVer,MobileAppInstalledDate,MobileAppInstalledVersion,MobileAppBinaryId,MobileAppInstallUrl,CanvasEnabled,CanvasReferenceId,CanvasUrl,CanvasAccessMethod,CanvasSelectedLocations,CanvasOptions,Type,ApplicationId,UserSortOrder,IsVisible,IsAccessible
0DSdM000001UIqQWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,1,Platform,standard,Platform,The fundamental Lightning Platform,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbO,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesforcePlatform/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesforcePlatform/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbOQAS,,True,False
0DSdM000001UIqRWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,2,Sales,standard,Sales,The world's most popular sales force automation (SFA) solution,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbD,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesCloud/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbDQAS,,True,True
0DSdM000001UIqSWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,3,Service,standard,Service,"Manage customer service with accounts, contacts, cases, and more",https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbP,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/ServiceCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/ServiceCloud/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbPQAS,,True,True
0DSdM000001UIqTWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,4,Marketing,standard,Marketing CRM Classic,Track sales and marketing efforts with CRM objects.,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbQ,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/MarketingCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/MarketingCloud/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbQQAS,,True,True
0DSdM000001UIqUWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,5,ServiceConsole,standard,Sample Console,(Salesforce Classic) Lets agents work with multiple records on one screen,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/console?tsid=02udM000004AcbR,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/ServiceCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/ServiceCloud/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbRQAS,,True,False
0DSdM000001UIqYWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,9,AppLauncher,standard,App Launcher,App Launcher tabs,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/app/mgmt/applauncher/appLauncher.apexp?tsid=02udM000004AcbV,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/AppLauncher/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/AppLauncher/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbVQAS,,True,True
0DSdM000001UIqZWAW,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,10,Community,standard,Community,Salesforce CRM Communities,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbC,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Community/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Community/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbCQAS,,True,True
0DSdM000001UIqaWAG,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,11,Sites,standard,Site.com,"Build pixel-perfect, data-rich websites using the drag-and-drop Site.com application, and manage content and published sites.",https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbW,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/app/00DdM0000078k5r/02udM000004AcbWQAS,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Sites/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbWQAS,,True,True
0DSdM000001UIqbWAG,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,12,Chatter,standard,Salesforce Chatter,"The Salesforce Chatter social network, including profiles and feeds",https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbX,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Standard/feed/logo.svg,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Chatter/icon.png,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbXQAS,,True,True
0DSdM000001UIqgWAG,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,17,Content,standard,Content,Salesforce CRM Content,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004Acbc,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Standard/file/logo.svg,,,True,,,,False,,,,,,False,,,,,,TabSet,02udM000004AcbcQAC,,True,True
