Id,CreatedById,CreatedDate,LastModifiedById,LastModifiedDate,IsArchived,ArchivedById,ArchivedDate,IsDeleted,OwnerId,SystemModstamp,Title,PublishStatus,LatestPublishedVersionId,ParentId,LastViewedDate,LastReferencedDate,Description,ContentSize,FileType,FileExtension,SharingOption,SharingPrivacy,ContentModifiedDate,ContentAssetId
069dM000003ugviQAA,005dM000004WE3FQAW,2024-07-10T05:50:30Z,005dM000004WE3FQAW,2024-07-10T05:50:30Z,False,,,False,005dM000004WE3FQAW,2024-07-10T05:50:30Z,thflogo,P,068dM000002lHHCQA2,,,,,8312,PNG,png,A,N,2028-12-05T19:33:47Z,03SdM000000kLO1UAM
069dM000003uoziQAA,005dM000004WE3FQAW,2024-07-10T06:10:06Z,005dM000004WE3FQAW,2024-07-10T06:10:15Z,False,,,False,005dM000004WE3FQAW,2024-07-10T06:10:39Z,dreamhouse-logo-square,P,068dM000002lMYcQAM,,,,,23382,PNG,png,A,N,2024-07-10T06:10:15Z,03SdM000000kMdRUAU
069dM0000040mC1QAI,005dM000004WE3FQAW,2024-07-11T07:00:50Z,005dM000004WE3FQAW,2024-07-11T07:04:16Z,False,,,False,005dM000004WE3FQAW,2024-07-11T07:04:19Z,energy,P,068dM000002pzWXQAY,,2024-07-11T07:04:16Z,2024-07-11T07:04:16Z,,3422,PNG,png,A,N,2024-07-11T07:00:50Z,03SdM000000lb0vUAA
069dM00000420EYQAY,005dM000004WE3FQAW,2024-07-11T11:08:29Z,005dM000004WE3FQAW,2024-07-11T11:09:29Z,False,,,False,005dM000004WE3FQAW,2024-07-11T11:09:30Z,dummy,R,068dM000002qrS6QAI,,2024-07-11T11:16:44Z,2024-07-11T11:16:44Z,,7478,PDF,pdf,A,N,2024-07-11T11:08:29Z,
069dM000004yEXFQA2,005dM000004WE3FQAW,2024-07-30T06:45:33Z,005dM000004WE3FQAW,2024-07-30T06:48:35Z,False,,,False,005dM000004WE3FQAW,2024-07-30T06:48:36Z,dreamhouse-logo,P,068dM000003XIPRQA4,,2024-07-30T06:48:35Z,2024-07-30T06:48:35Z,,16805,PNG,png,A,N,2024-07-30T06:45:33Z,03SdM000000wryQUAQ
069dM000006cIJqQAM,005dM000004WE3FQAW,2024-09-16T10:04:19Z,005dM000004WE3FQAW,2024-09-16T10:04:19Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:04:20Z,Campaign_Backup_2024-09-16.csv,R,068dM000004lhX4QAI,,,,,1614,CSV,csv,A,N,2024-09-16T10:04:19Z,
069dM000006cNU5QAM,005dM000004WE3FQAW,2024-09-16T10:03:42Z,005dM000004WE3FQAW,2024-09-16T10:03:42Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:03:42Z,Broker__c_Backup_2024-09-16.csv,R,068dM000004ll5JQAQ,,,,,3885,CSV,csv,A,N,2024-09-16T10:03:42Z,
069dM000006cRN8QAM,005dM000004WE3FQAW,2024-09-16T10:18:06Z,005dM000004WE3FQAW,2024-09-16T10:18:06Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:18:06Z,ListView_Backup_2024-09-16.csv,R,068dM000004lo5WQAQ,,,,,53562,CSV,csv,A,N,2024-09-16T10:18:06Z,
069dM000006cUjEQAU,005dM000004WE3FQAW,2024-09-16T10:00:37Z,005dM000004WE3FQAW,2024-09-16T10:00:37Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:00:37Z,ApexTrigger_Backup_2024-09-16.csv,R,068dM000004lqH2QAI,,,,,814,CSV,csv,A,N,2024-09-16T10:00:37Z,
069dM000006cV7SQAU,005dM000004WE3FQAW,2024-09-16T10:22:37Z,005dM000004WE3FQAW,2024-09-16T10:22:37Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:22:37Z,Period_Backup_2024-09-16.csv,R,068dM000004lqTyQAI,,,,,12505,CSV,csv,A,N,2024-09-16T10:22:37Z,
069dM000006cViVQAU,005dM000004WE3FQAW,2024-09-16T10:07:30Z,005dM000004WE3FQAW,2024-09-16T10:07:30Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:07:30Z,ContentVersion_Backup_2024-09-16.csv,R,068dM000004lqs7QAA,,,,,21310,CSV,csv,A,N,2024-09-16T10:07:30Z,
069dM000006cVk6QAE,005dM000004WE3FQAW,2024-09-16T10:18:48Z,005dM000004WE3FQAW,2024-09-16T10:18:48Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:18:48Z,LoginIp_Backup_2024-09-16.csv,R,068dM000004lqtiQAA,,,,,390,CSV,csv,A,N,2024-09-16T10:18:48Z,
069dM000006cVqYQAU,005dM000004WE3FQAW,2024-09-16T10:06:34Z,005dM000004WE3FQAW,2024-09-16T10:06:34Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:06:35Z,Contact_Backup_2024-09-16.csv,R,068dM000004lr0AQAQ,,,,,11374,CSV,csv,A,N,2024-09-16T10:06:34Z,
069dM000006cVqaQAE,005dM000004WE3FQAW,2024-09-16T10:26:28Z,005dM000004WE3FQAW,2024-09-16T10:26:28Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:26:28Z,RecentlyViewed_Backup_2024-09-16.csv,R,068dM000004lr0CQAQ,,,,,26852,CSV,csv,A,N,2024-09-16T10:26:28Z,
069dM000006cVsAQAU,005dM000004WE3FQAW,2024-09-16T10:16:21Z,005dM000004WE3FQAW,2024-09-16T10:16:21Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:16:21Z,GroupMember_Backup_2024-09-16.csv,R,068dM000004lr1mQAA,,,,,111,CSV,csv,A,N,2024-09-16T10:16:21Z,
069dM000006cWpuQAE,005dM000004WE3FQAW,2024-09-16T10:17:26Z,005dM000004WE3FQAW,2024-09-16T10:17:26Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:17:26Z,LeadStatus_Backup_2024-09-16.csv,R,068dM000004lrZiQAI,,,,,744,CSV,csv,A,N,2024-09-16T10:17:26Z,
069dM000006cX6rQAE,005dM000004WE3FQAW,2024-09-16T10:01:50Z,005dM000004WE3FQAW,2024-09-16T10:01:50Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:01:50Z,AuraDefinitionBundle_Backup_2024-09-16.csv,R,068dM000004lrqfQAA,,,,,1775,CSV,csv,A,N,2024-09-16T10:01:50Z,
069dM000006cXM7QAM,005dM000004WE3FQAW,2024-09-16T10:30:54Z,005dM000004WE3FQAW,2024-09-16T10:30:54Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:30:54Z,User_Backup_2024-09-16.csv,R,068dM000004ls5vQAA,,,,,17320,CSV,csv,A,N,2024-09-16T10:30:54Z,
069dM000006cXh4QAE,005dM000004WE3FQAW,2024-09-16T09:59:47Z,005dM000004WE3FQAW,2024-09-16T09:59:47Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:59:47Z,ApexClass_Backup_2024-09-16.csv,R,068dM000004lsFaQAI,,,,,23191,CSV,csv,A,N,2024-09-16T09:59:47Z,
069dM000006cXmnQAE,005dM000004WE3FQAW,2024-09-16T10:04:02Z,005dM000004WE3FQAW,2024-09-16T10:04:02Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:04:02Z,BusinessHours_Backup_2024-09-16.csv,R,068dM000004lsLJQAY,,,,,703,CSV,csv,A,N,2024-09-16T10:04:02Z,
069dM000006cXsMQAU,005dM000004WE3FQAW,2024-09-16T10:07:38Z,005dM000004WE3FQAW,2024-09-16T10:07:38Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:07:38Z,ContentWorkspace_Backup_2024-09-16.csv,R,068dM000004lsQsQAI,,,,,488,CSV,csv,A,N,2024-09-16T10:07:38Z,
069dM000006cY1JQAU,005dM000004WE3FQAW,2024-09-16T10:20:58Z,005dM000004WE3FQAW,2024-09-16T10:20:58Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:20:58Z,ObjectPermissions_Backup_2024-09-16.csv,R,068dM000004lsZpQAI,,,,,314436,CSV,csv,A,N,2024-09-16T10:20:58Z,
069dM000006cYGYQA2,005dM000004WE3FQAW,2024-09-16T10:23:41Z,005dM000004WE3FQAW,2024-09-16T10:23:41Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:23:41Z,Pricebook2_Backup_2024-09-16.csv,R,068dM000004lslqQAA,,,,,447,CSV,csv,A,N,2024-09-16T10:23:41Z,
069dM000006cYZuQAM,005dM000004WE3FQAW,2024-09-16T10:04:31Z,005dM000004WE3FQAW,2024-09-16T10:04:31Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:04:31Z,CampaignMemberStatus_Backup_2024-09-16.csv,R,068dM000004lt1yQAA,,,,,1884,CSV,csv,A,N,2024-09-16T10:04:31Z,
069dM000006cZxPQAU,005dM000004WE3FQAW,2024-09-16T10:26:10Z,005dM000004WE3FQAW,2024-09-16T10:26:10Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:26:10Z,Property__c_Backup_2024-09-16.csv,R,068dM000004ltrbQAA,,,,,11816,CSV,csv,A,N,2024-09-16T10:26:10Z,
069dM000006ca2FQAQ,005dM000004WE3FQAW,2024-09-16T10:17:54Z,005dM000004WE3FQAW,2024-09-16T10:17:54Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:17:54Z,LightningUsageByPageMetrics_Backup_2024-09-16.csv,R,068dM000004ltwRQAQ,,,,,27633,CSV,csv,A,N,2024-09-16T10:17:54Z,
069dM000006ca8gQAA,005dM000004WE3FQAW,2024-09-16T10:32:11Z,005dM000004WE3FQAW,2024-09-16T10:32:11Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:32:11Z,UserPermissionAccess_Backup_2024-09-16.csv,R,068dM000004lu2sQAA,,,,,11415,CSV,csv,A,N,2024-09-16T10:32:11Z,
069dM000006caRJQAY,005dM000004WE3FQAW,2024-09-16T09:59:07Z,005dM000004WE3FQAW,2024-09-16T09:59:07Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:59:07Z,Account_Backup_2024-09-16.csv,R,068dM000004luRxQAI,,,,,34241,CSV,csv,A,N,2024-09-16T09:59:07Z,
069dM000006caRKQAY,005dM000004WE3FQAW,2024-09-16T10:21:19Z,005dM000004WE3FQAW,2024-09-16T10:21:19Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:21:20Z,OpportunityStage_Backup_2024-09-16.csv,R,068dM000004luRyQAI,,,,,1935,CSV,csv,A,N,2024-09-16T10:21:19Z,
069dM000006caXxQAI,005dM000004WE3FQAW,2024-09-16T09:55:02Z,005dM000004WE3FQAW,2024-09-16T09:55:02Z,False,,,False,005dM000004WE3FQAW,2024-09-16T09:55:02Z,ActiveFeatureLicenseMetric_Backup_2024-09-16.csv,R,068dM000004luN9QAI,,,,,8784,CSV,csv,A,N,2024-09-16T09:55:02Z,
069dM000006cajqQAA,005dM000004WE3FQAW,2024-09-16T10:01:53Z,005dM000004WE3FQAW,2024-09-16T10:01:53Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:01:53Z,AuraDefinitionBundleInfo_Backup_2024-09-16.csv,R,068dM000004luUMQAY,,,,,911,CSV,csv,A,N,2024-09-16T10:01:53Z,
069dM000006capVQAQ,005dM000004WE3FQAW,2024-09-16T10:24:34Z,005dM000004WE3FQAW,2024-09-16T10:24:34Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:24:34Z,ProcessDefinition_Backup_2024-09-16.csv,R,068dM000004luVuQAI,,,,,505,CSV,csv,A,N,2024-09-16T10:24:34Z,
069dM000006cbG2QAI,005dM000004WE3FQAW,2024-09-16T10:08:43Z,005dM000004WE3FQAW,2024-09-16T10:08:43Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:08:43Z,CronJobDetail_Backup_2024-09-16.csv,R,068dM000004lum2QAA,,,,,90,CSV,csv,A,N,2024-09-16T10:08:43Z,
069dM000006cbLlQAI,005dM000004WE3FQAW,2024-09-16T10:21:42Z,005dM000004WE3FQAW,2024-09-16T10:21:42Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:21:42Z,Organization_Backup_2024-09-16.csv,R,068dM000004luwbQAA,,,,,1547,CSV,csv,A,N,2024-09-16T10:21:42Z,
069dM000006cbLmQAI,005dM000004WE3FQAW,2024-09-16T10:23:21Z,005dM000004WE3FQAW,2024-09-16T10:23:21Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:23:21Z,PipelineInspectionListView_Backup_2024-09-16.csv,R,068dM000004luwcQAA,,,,,555,CSV,csv,A,N,2024-09-16T10:23:21Z,
069dM000006cc8sQAA,005dM000004WE3FQAW,2024-09-16T10:30:57Z,005dM000004WE3FQAW,2024-09-16T10:30:57Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:31:01Z,UserAppInfo_Backup_2024-09-16.csv,R,068dM000004lvVCQAY,,,,,269,CSV,csv,A,N,2024-09-16T10:30:57Z,
069dM000006ccaIQAQ,005dM000004WE3FQAW,2024-09-16T10:17:44Z,005dM000004WE3FQAW,2024-09-16T10:17:44Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:17:44Z,LightningUsageByAppTypeMetrics_Backup_2024-09-16.csv,R,068dM000004lvoYQAQ,,,,,2319,CSV,csv,A,N,2024-09-16T10:17:44Z,
069dM000006ccwBQAQ,005dM000004WE3FQAW,2024-09-16T10:26:08Z,005dM000004WE3FQAW,2024-09-16T10:26:08Z,False,,,False,005dM000004WE3FQAW,2024-09-16T10:26:08Z,Properti__c_Backup_2024-09-16.csv,R,068dM000004lw7DQAQ,,,,,317,CSV,csv,A,N,2024-09-16T10:26:08Z,
