Id,Name,DashboardId,CustomReportId
01adM000001gNndQAE,Untitled Component,01ZdM000001Rcv3UAC,00OdM000004aQCzUAM
01adM000001gOq9QAE,Untitled Component,01ZdM000001RdvxUAC,00OdM000004aRWXUA2
01adM000001qwFRQAY,Untitled Component,01ZdM000001adv7UAA,00OdM00000506KnUAI
01adM000001sM2zQAE,Last 14 Days,01ZdM000001bqofUAA,00OdM0000053UeuUAE
01adM000001sM30QAE,Last 14 Days,01ZdM000001bqofUAA,00OdM0000053UexUAE
01adM000001sM31QAE,Active Salesforce Users,01ZdM000001bqofUAA,00OdM0000053UecUAE
01adM000001sM32QAE,Last 14 Days,01ZdM000001bqofUAA,00OdM0000053UebUAE
01adM000001sM33QAE,Last 14 Days,01ZdM000001bqofUAA,00OdM0000053UewUAE
01adM000001sM34QAE,Last 14 Days,01ZdM000001bqofUAA,00OdM0000053UevUAE
01adM000001sM35QAE,Last 14 Days,01ZdM000001bqofUAA,00OdM0000053UeyUAE
01adM000001sM36QAE,New ACCOUNTS (Last 30 Days),01ZdM000001bqogUAA,00OdM0000053Uf5UAE
01adM000001sM37QAE,Last 180 Days,01ZdM000001bqogUAA,00OdM0000053Uf6UAE
01adM000001sM38QAE,Count of ACCOUNTS (All),01ZdM000001bqogUAA,00OdM0000053UelUAE
01adM000001sM39QAE,Untitled Component,01ZdM000001bqogUAA,00OdM0000053UeeUAE
01adM000001sM3AQAU,No Activity in Last 60 Days,01ZdM000001bqogUAA,00OdM0000053Uf0UAE
01adM000001sM3BQAU,Last Run > 180 Days,01ZdM000001bqogUAA,00OdM0000053UerUAE
01adM000001sM3CQAU,New CONTACTS (Last 30 Days),01ZdM000001bqogUAA,00OdM0000053UedUAE
01adM000001sM3DQAU,Last 180 Days,01ZdM000001bqogUAA,00OdM0000053Uf7UAE
01adM000001sM3EQAU,Count of CONTACTS (All),01ZdM000001bqogUAA,00OdM0000053UepUAE
01adM000001sM3FQAU,Activity w/in Last 180 Days,01ZdM000001bqogUAA,00OdM0000053UehUAE
01adM000001sM3GQAU,No Activity in Last 60 Days,01ZdM000001bqogUAA,00OdM0000053Uf2UAE
01adM000001sM3HQAU,New ACTIVITIES (Last 30 Days),01ZdM000001bqogUAA,00OdM0000053Uf4UAE
01adM000001sM3IQAU,Last 180 Days,01ZdM000001bqogUAA,00OdM0000053Uf3UAE
01adM000001sM3JQAU,Count of ACTIVITIES (Last 30 Days),01ZdM000001bqogUAA,00OdM0000053Uf4UAE
01adM000001sM3KQAU,Last 30 Days,01ZdM000001bqogUAA,00OdM0000053UefUAE
01adM000001sM3LQAU,Last 30 Days,01ZdM000001bqogUAA,00OdM0000053UegUAE
01adM000001sM3MQAU,New LEADS (Last 30 Days),01ZdM000001bqohUAA,00OdM0000053Uf8UAE
01adM000001sM3NQAU,Last 180 Days,01ZdM000001bqohUAA,00OdM0000053Uf9UAE
01adM000001sM3OQAU,Count of LEADS (All),01ZdM000001bqohUAA,00OdM0000053UemUAE
01adM000001sM3PQAU,Untitled Component,01ZdM000001bqohUAA,00OdM0000053UfGUAU
01adM000001sM3QQAU,Last 365 Days,01ZdM000001bqohUAA,00OdM0000053UeqUAE
01adM000001sM3RQAU,Last 365 Days,01ZdM000001bqohUAA,00OdM0000053UetUAE
01adM000001sM3SQAU,New OPPORTUNITIES (Last 30 Days),01ZdM000001bqohUAA,00OdM0000053UfAUAU
01adM000001sM3TQAU,Untitled Component,01ZdM000001bqohUAA,00OdM0000053UfBUAU
01adM000001sM3UQAU,Count of OPPORTUNITIES (All),01ZdM000001bqohUAA,00OdM0000053UenUAE
01adM000001sM3VQAU,Untitled Component,01ZdM000001bqohUAA,00OdM0000053UfFUAU
01adM000001sM3WQAU,Proposal & Negotiation Stages,01ZdM000001bqohUAA,00OdM0000053UfEUAU
01adM000001sM3XQAU,No Activity,01ZdM000001bqohUAA,00OdM0000053UesUAE
01adM000001sM3YQAU,Last 365 Days,01ZdM000001bqohUAA,00OdM0000053UezUAE
01adM000001sM3ZQAU,NEW OPPORTUNITIES (Last 365 Days),01ZdM000001bqohUAA,00OdM0000053UeoUAE
01adM000001sM3aQAE,Created Last 365 Days (All),01ZdM000001bqohUAA,00OdM0000053UfCUAU
01adM000001sM3bQAE,No Activity - Last 30 Days,01ZdM000001bqohUAA,00OdM0000053Uf1UAE
01adM000001sM3cQAE,Untitled Component,01ZdM000001bqohUAA,00OdM0000053UfDUAU
01adM000001sM3dQAE,New CAMPAIGNS (Last 30 Days),01ZdM000001bqohUAA,00OdM0000053UejUAE
01adM000001sM3eQAE,Last 365 Days,01ZdM000001bqohUAA,00OdM0000053UeiUAE
01adM000001sM3fQAE,Last 365 Days,01ZdM000001bqohUAA,00OdM0000053UekUAE
