Id,DurableId,LastModifiedDate,LastModifiedById,QualifiedApiName,NamespacePrefix,DeveloperName,MasterLabel,Label,PluralLabel,DefaultCompactLayoutId,IsCustomizable,IsApexTriggerable,IsWorkflowEnabled,IsProcessEnabled,IsCompactLayoutable,DeploymentStatus,KeyPrefix,IsCustomSetting,IsDeprecatedAndHidden,IsReplicateable,IsRetrieveable,IsSearchLayoutable,IsSearchable,IsTriggerable,IsIdEnabled,IsEverCreatable,IsEverUpdatable,IsEverDeletable,IsFeedEnabled,IsQueryable,IsMruEnabled,DetailUrl,EditUrl,NewUrl,EditDefinitionUrl,HelpSettingPageName,HelpSettingPageUrl,RunningUserEntityAccessId,PublisherId,IsLayoutable,RecordTypesSupported,InternalSharingModel,ExternalSharingModel,HasSubtypes,IsSubtype,IsAutoActivityCaptureEnabled,IsInterface,ImplementsInterfaces,ImplementedBy,ExtendsInterfaces,ExtendedBy,DefaultImplementation
000000000000000AAA,Contract,,,Contract,,Contract,Contract,Contract,Contracts,Contract.SYSTEM,True,True,True,True,True,,800,False,False,True,True,True,True,True,True,True,True,True,False,True,True,/{ID},/{ID}/e,/800/e,,,,Contract.005dM000004WE3FQAW,System,True,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/Contract/describe/layouts/012000000000000AAA'}}]}",ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,ContractHistory,,,ContractHistory,,ContractHistory,Contract History,Contract History,Contract History,,False,False,False,False,False,,017,False,False,True,True,False,False,False,True,True,False,True,False,True,False,/{ID},/{ID}/e,/017/e,,,,ContractHistory.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,ContractFeed,,,ContractFeed,,ContractFeed,Contract Feed,Contract Feed,Contract Feed,,False,False,False,False,False,,0D5,False,False,True,True,False,False,False,True,False,False,True,False,True,False,/{ID},/{ID}/e,/0D5/e,,,,ContractFeed.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,ContractChangeEvent,,,ContractChangeEvent,,ContractChangeEvent,Contract Change Event,Contract Change Event,Contract Change Event,,False,True,False,False,False,,1CE,False,False,False,True,False,False,True,False,True,True,True,False,False,False,/{ID},/{ID}/e,/1CE/e,,,,ContractChangeEvent.005dM000004WE3FQAW,CDC,False,{'recordTypeInfos': []},ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,Order,,,Order,,Order,Order,Order,Orders,Order.SYSTEM,True,True,True,True,True,,801,False,False,True,True,True,True,True,True,True,True,True,False,True,True,/{ID},/{ID}/e,/801/e,,,,Order.005dM000004WE3FQAW,System,True,"{'recordTypeInfos': [{'available': True, 'defaultRecordTypeMapping': True, 'name': 'Master', 'developerName': 'Master', 'recordTypeId': '012000000000000AAA', 'active': True, 'master': True, 'urls': {'layout': '/services/data/v59.0/sobjects/Order/describe/layouts/012000000000000AAA'}}]}",ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,OrderShare,,,OrderShare,,OrderShare,Order Share,Order Share,Order Share,,False,False,False,False,False,,0Fy,False,False,False,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/0Fy/e,,,,OrderShare.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,OrderHistory,,,OrderHistory,,OrderHistory,Order History,Order History,Order History,,False,False,False,False,False,,017,False,False,True,True,False,False,False,True,True,False,True,False,True,False,/{ID},/{ID}/e,/017/e,,,,OrderHistory.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,OrderFeed,,,OrderFeed,,OrderFeed,Order Feed,Order Feed,Order Feed,,False,False,False,False,False,,0D5,False,False,True,True,False,False,False,True,False,False,True,False,True,False,/{ID},/{ID}/e,/0D5/e,,,,OrderFeed.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,OrderChangeEvent,,,OrderChangeEvent,,OrderChangeEvent,Order Change Event,Order Change Event,Order Change Event,,False,True,False,False,False,,1CE,False,False,False,True,False,False,True,False,True,True,True,False,False,False,/{ID},/{ID}/e,/1CE/e,,,,OrderChangeEvent.005dM000004WE3FQAW,CDC,False,{'recordTypeInfos': []},ReadWrite,Private,False,False,False,False,,,,,
000000000000000AAA,OrderItem,,,OrderItem,,OrderItem,Order Product,Order Product,Order Products,OrderItem.SYSTEM,True,True,True,False,True,,802,False,False,True,True,False,False,True,True,True,True,True,False,True,False,/{ID},/{ID}/e,/802/e,,,,OrderItem.005dM000004WE3FQAW,System,True,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,OrderItemHistory,,,OrderItemHistory,,OrderItemHistory,Order Product History,Order Product History,Order Product History,,False,False,False,False,False,,017,False,False,True,True,False,False,False,True,True,False,True,False,True,False,/{ID},/{ID}/e,/017/e,,,,OrderItemHistory.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,OrderItemFeed,,,OrderItemFeed,,OrderItemFeed,Order Product Feed,Order Product Feed,Order Product Feed,,False,False,False,False,False,,0D5,False,False,True,True,False,False,False,True,False,False,True,False,True,False,/{ID},/{ID}/e,/0D5/e,,,,OrderItemFeed.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,OrderItemChangeEvent,,,OrderItemChangeEvent,,OrderItemChangeEvent,Order Product Change Event,Order Product Change Event,Order Product Change Event,,False,True,False,False,False,,1CE,False,False,False,True,False,False,True,False,True,True,True,False,False,False,/{ID},/{ID}/e,/1CE/e,,,,OrderItemChangeEvent.005dM000004WE3FQAW,CDC,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,ContractContactRole,,,ContractContactRole,,ContractContactRole,Contract Contact Role,Contract Contact Role,Contract Contact Role,,False,False,False,False,False,,02a,False,False,True,True,False,False,False,True,True,True,True,False,True,False,/{ID},/{ID}/e,/02a/e,,,,ContractContactRole.005dM000004WE3FQAW,System,True,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,OpportunityStage,,,OpportunityStage,,OpportunityStage,Opportunity Stage,Opportunity Stage,Opportunity Stage,,False,False,False,False,False,,01J,False,False,False,True,False,False,False,True,False,False,False,False,True,False,/{ID},/{ID}/e,/01J/e,,,,OpportunityStage.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,LeadStatus,,,LeadStatus,,LeadStatus,Lead Status Value,Lead Status Value,Lead Status Value,,False,False,False,False,False,,01J,False,False,False,True,False,False,False,True,False,False,False,False,True,False,/{ID},/{ID}/e,/01J/e,,,,LeadStatus.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
000000000000000AAA,CaseStatus,,,CaseStatus,,CaseStatus,Case Status Value,Case Status Value,Case Status Value,,False,False,False,False,False,,,False,False,False,True,False,False,False,True,False,False,False,False,True,False,/{ID},/{ID}/e,/null/e,,,,CaseStatus.005dM000004WE3FQAW,System,False,{'recordTypeInfos': []},ReadWrite,ReadWrite,False,False,False,False,,,,,
