Id,ParentId,SobjectType,Field,PermissionsEdit,PermissionsRead,SystemModstamp
01kdM0000A114pHQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Broker_Id__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pIQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Email__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pFQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Mobile_Phone__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pEQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Phone__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pJQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Picture__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pKQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Title__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pGQQQ,0PSdM000004R7ftWAC,Broker__c,Broker__c.Picture_IMG__c,False,True,2024-07-10T06:10:08Z
01kdM0000A114pSQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Address__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pcQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Assessed_Value__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114piQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Baths__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pdQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Beds__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114paQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Broker__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pUQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.City__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pOQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Date_Agreement__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pVQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Date_Closed__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pPQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Date_Contracted__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pgQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Date_Listed__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114phQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Date_Pre_Market__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pNQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Description__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pfQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Location__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pXQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Picture__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pZQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Price_Sold__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pjQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Price__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pbQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Record_Link__c,False,True,2024-07-10T06:10:08Z
01kdM0000A114pRQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.State__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pMQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Status__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pLQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Tags__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pTQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Thumbnail__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114pQQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Zip__c,True,True,2024-07-10T06:10:08Z
01kdM0000A114peQQA,0PSdM000004R7ftWAC,Property__c,Property__c.Days_On_Market__c,False,True,2024-07-10T06:10:08Z
01kdM0000A114pWQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Picture_IMG__c,False,True,2024-07-10T06:10:08Z
01kdM0000A114pYQQQ,0PSdM000004R7ftWAC,Property__c,Property__c.Thumbnail_IMG__c,False,True,2024-07-10T06:10:08Z
