Id,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate,FlowDefinition,AssociatedRecordId,Description,Type,ProgressStatus,ScheduledStartDate,ErrorCode,ErrorDetails
2aFdM000000qXUXUA2,False,Orchestration flow for Recurrence Scheduler,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,,Scheduled,InProgress,,,
2aFdM000000qXUYUA2,False,Reset Password,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,,,InProgress,,,
2aFdM000000qXUZUA2,False,CMS: Submit Content for Review,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,"Allows a content author to conditionally view a reviewer's feedback, provide revision comments, and submit a content variant for review.",,InProgress,,,
2aFdM000000qXUaUAM,False,Close Change Request & Related Issues,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,"Closes a Change Request and attempts to close its related Incidents, Problems, and Cases.",,Draft,,,
2aFdM000000qXUbUAM,False,Return Item Flow,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,Order Management: Return order items after fulfillment.,,Draft,,,
2aFdM000000qXUcUAM,False,Create Order Summary Flow,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,Order Management: Create an Order Summary record from an order.,RecordAfterSave,Draft,,,
2aFdM000000qXUdUAM,False,CMS: Withdraw Review Request,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,Allows a content author to withdraw a review request in order to make changes to the underlying content variant.,,InProgress,,,
2aFdM000000qXUeUAM,False,CMS: Review Content,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,005dM000004WWvKQAW,2024-07-10T05:52:21Z,,,,,"Allows a content manager to conditionally view a content author's feedback, provide revision comments, and approve or request revisions of a content variant.",,InProgress,,,
2aFdM000000qXUfUAM,False,Create a Case,2024-07-10T05:52:22Z,005dM000004WWvKQAW,2024-07-10T05:52:22Z,005dM000004WWvKQAW,2024-07-10T05:52:22Z,,,,,,,InProgress,,,
2aFdM000000qXUgUAM,False,CMS: Notify Content Author,2024-07-10T05:52:22Z,005dM000004WWvKQAW,2024-07-10T05:52:22Z,005dM000004WWvKQAW,2024-07-10T05:52:22Z,,,,,"Notifies the content author that their content variant has been approved, and allows the content author to conditionally view the final feedback for the content variant.",,InProgress,,,
2aFdM000000qXUhUAM,False,Generate Payment Link,2024-07-10T05:52:22Z,005dM000004WWvKQAW,2024-07-10T05:52:22Z,005dM000004WWvKQAW,2024-07-10T05:52:22Z,,,,,,,InProgress,,,
