Id,DurableId,FunctionId,Type
000000000000000AAA,VALIDATION-ABS,ABS,VALIDATION
000000000000000AAA,VALIDATION-ACOS,ACOS,VALIDATION
000000000000000AAA,VALIDATION-ADDMONTHS,ADDMONTHS,VALIDATION
000000000000000AAA,VALIDATION-AND,AND,VALIDATION
000000000000000AAA,VALIDATION-ASCII,ASCII,VALIDATION
000000000000000AAA,VALIDATION-ASIN,ASIN,VALIDATION
000000000000000AAA,VALIDATION-ATAN,ATAN,VALIDATION
000000000000000AAA,VALIDATION-ATAN2,ATAN2,VALIDATION
000000000000000AAA,VALIDATION-BEGINS,BEGINS,VALIDATION
000000000000000AAA,VALIDATION-BLANKVALUE,BLANKVALUE,VALIDATION
000000000000000AAA,VALIDATION-BR,BR,VALIDATION
000000000000000AAA,VALIDATION-CASE,CASE,VALIDATION
000000000000000AAA,VALIDATION-CASESAFEID,CASESAFEID,VALIDATION
000000000000000AAA,VALIDATION-CEILING,CEILING,VALIDATION
000000000000000AAA,VALIDATION-CHR,CHR,VALIDATION
000000000000000AAA,VALIDATION-CONTAINS,CONTAINS,VALIDATION
000000000000000AAA,VALIDATION-COS,COS,VALIDATION
000000000000000AAA,VALIDATION-CURRENCYRATE,CURRENCYRATE,VALIDATION
000000000000000AAA,VALIDATION-DATE,DATE,VALIDATION
000000000000000AAA,VALIDATION-DATETIMEVALUE,DATETIMEVALUE,VALIDATION
000000000000000AAA,VALIDATION-DATEVALUE,DATEVALUE,VALIDATION
000000000000000AAA,VALIDATION-DAY,DAY,VALIDATION
000000000000000AAA,VALIDATION-DAYOFYEAR,DAYOFYEAR,VALIDATION
000000000000000AAA,VALIDATION-DISTANCE,DISTANCE,VALIDATION
000000000000000AAA,VALIDATION-EXP,EXP,VALIDATION
000000000000000AAA,VALIDATION-FIND,FIND,VALIDATION
000000000000000AAA,VALIDATION-FLOOR,FLOOR,VALIDATION
000000000000000AAA,VALIDATION-FORMATDURATION,FORMATDURATION,VALIDATION
000000000000000AAA,VALIDATION-FROMUNIXTIME,FROMUNIXTIME,VALIDATION
000000000000000AAA,VALIDATION-GEOLOCATION,GEOLOCATION,VALIDATION
000000000000000AAA,VALIDATION-GETSESSIONID,GETSESSIONID,VALIDATION
000000000000000AAA,VALIDATION-HOUR,HOUR,VALIDATION
000000000000000AAA,VALIDATION-IF,IF,VALIDATION
000000000000000AAA,VALIDATION-INCLUDES,INCLUDES,VALIDATION
000000000000000AAA,VALIDATION-INITCAP,INITCAP,VALIDATION
000000000000000AAA,VALIDATION-ISBLANK,ISBLANK,VALIDATION
000000000000000AAA,VALIDATION-ISCHANGED,ISCHANGED,VALIDATION
000000000000000AAA,VALIDATION-ISCLONE,ISCLONE,VALIDATION
000000000000000AAA,VALIDATION-ISNEW,ISNEW,VALIDATION
000000000000000AAA,VALIDATION-ISNULL,ISNULL,VALIDATION
000000000000000AAA,VALIDATION-ISNUMBER,ISNUMBER,VALIDATION
000000000000000AAA,VALIDATION-ISOWEEK,ISOWEEK,VALIDATION
000000000000000AAA,VALIDATION-ISOYEAR,ISOYEAR,VALIDATION
000000000000000AAA,VALIDATION-ISPICKVAL,ISPICKVAL,VALIDATION
000000000000000AAA,VALIDATION-LEFT,LEFT,VALIDATION
000000000000000AAA,VALIDATION-LEN,LEN,VALIDATION
000000000000000AAA,VALIDATION-LN,LN,VALIDATION
000000000000000AAA,VALIDATION-LOG,LOG,VALIDATION
000000000000000AAA,VALIDATION-LOWER,LOWER,VALIDATION
000000000000000AAA,VALIDATION-LPAD,LPAD,VALIDATION
000000000000000AAA,VALIDATION-MAX,MAX,VALIDATION
000000000000000AAA,VALIDATION-MCEILING,MCEILING,VALIDATION
000000000000000AAA,VALIDATION-MFLOOR,MFLOOR,VALIDATION
000000000000000AAA,VALIDATION-MID,MID,VALIDATION
000000000000000AAA,VALIDATION-MILLISECOND,MILLISECOND,VALIDATION
000000000000000AAA,VALIDATION-MIN,MIN,VALIDATION
000000000000000AAA,VALIDATION-MINUTE,MINUTE,VALIDATION
000000000000000AAA,VALIDATION-MOD,MOD,VALIDATION
000000000000000AAA,VALIDATION-MONTH,MONTH,VALIDATION
000000000000000AAA,VALIDATION-NOT,NOT,VALIDATION
000000000000000AAA,VALIDATION-NOW,NOW,VALIDATION
000000000000000AAA,VALIDATION-NULLVALUE,NULLVALUE,VALIDATION
000000000000000AAA,VALIDATION-OR,OR,VALIDATION
000000000000000AAA,VALIDATION-PI,PI,VALIDATION
000000000000000AAA,VALIDATION-PICKLISTCOUNT,PICKLISTCOUNT,VALIDATION
000000000000000AAA,VALIDATION-PREDICT,PREDICT,VALIDATION
000000000000000AAA,VALIDATION-PRIORVALUE,PRIORVALUE,VALIDATION
000000000000000AAA,VALIDATION-REGEX,REGEX,VALIDATION
000000000000000AAA,VALIDATION-REVERSE,REVERSE,VALIDATION
000000000000000AAA,VALIDATION-RIGHT,RIGHT,VALIDATION
000000000000000AAA,VALIDATION-ROUND,ROUND,VALIDATION
000000000000000AAA,VALIDATION-RPAD,RPAD,VALIDATION
000000000000000AAA,VALIDATION-SECOND,SECOND,VALIDATION
000000000000000AAA,VALIDATION-SIN,SIN,VALIDATION
000000000000000AAA,VALIDATION-SQRT,SQRT,VALIDATION
000000000000000AAA,VALIDATION-SUBSTITUTE,SUBSTITUTE,VALIDATION
000000000000000AAA,VALIDATION-TAN,TAN,VALIDATION
000000000000000AAA,VALIDATION-TEXT,TEXT,VALIDATION
000000000000000AAA,VALIDATION-TIMENOW,TIMENOW,VALIDATION
000000000000000AAA,VALIDATION-TIMEVALUE,TIMEVALUE,VALIDATION
000000000000000AAA,VALIDATION-TODAY,TODAY,VALIDATION
000000000000000AAA,VALIDATION-TRIM,TRIM,VALIDATION
000000000000000AAA,VALIDATION-TRUNC,TRUNC,VALIDATION
000000000000000AAA,VALIDATION-UNIXTIMESTAMP,UNIXTIMESTAMP,VALIDATION
000000000000000AAA,VALIDATION-UPPER,UPPER,VALIDATION
000000000000000AAA,VALIDATION-VALUE,VALUE,VALIDATION
000000000000000AAA,VALIDATION-VLOOKUP,VLOOKUP,VALIDATION
000000000000000AAA,VALIDATION-WEEKDAY,WEEKDAY,VALIDATION
000000000000000AAA,VALIDATION-YEAR,YEAR,VALIDATION
000000000000000AAA,VISUALFORCE-ABS,ABS,VISUALFORCE
000000000000000AAA,VISUALFORCE-ACOS,ACOS,VISUALFORCE
000000000000000AAA,VISUALFORCE-ADDMONTHS,ADDMONTHS,VISUALFORCE
000000000000000AAA,VISUALFORCE-AND,AND,VISUALFORCE
000000000000000AAA,VISUALFORCE-ASCII,ASCII,VISUALFORCE
000000000000000AAA,VISUALFORCE-ASIN,ASIN,VISUALFORCE
000000000000000AAA,VISUALFORCE-ATAN,ATAN,VISUALFORCE
000000000000000AAA,VISUALFORCE-ATAN2,ATAN2,VISUALFORCE
000000000000000AAA,VISUALFORCE-BEGINS,BEGINS,VISUALFORCE
000000000000000AAA,VISUALFORCE-BLANKVALUE,BLANKVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-BR,BR,VISUALFORCE
000000000000000AAA,VISUALFORCE-CASE,CASE,VISUALFORCE
000000000000000AAA,VISUALFORCE-CASESAFEID,CASESAFEID,VISUALFORCE
000000000000000AAA,VISUALFORCE-CEILING,CEILING,VISUALFORCE
000000000000000AAA,VISUALFORCE-CHR,CHR,VISUALFORCE
000000000000000AAA,VISUALFORCE-CONTAINS,CONTAINS,VISUALFORCE
000000000000000AAA,VISUALFORCE-COS,COS,VISUALFORCE
000000000000000AAA,VISUALFORCE-CURRENCYRATE,CURRENCYRATE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DATE,DATE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DATETIMEVALUE,DATETIMEVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DATEVALUE,DATEVALUE,VISUALFORCE
000000000000000AAA,VISUALFORCE-DAY,DAY,VISUALFORCE
000000000000000AAA,VISUALFORCE-DAYOFYEAR,DAYOFYEAR,VISUALFORCE
000000000000000AAA,VISUALFORCE-EXP,EXP,VISUALFORCE
000000000000000AAA,VISUALFORCE-FIND,FIND,VISUALFORCE
000000000000000AAA,VISUALFORCE-FLOOR,FLOOR,VISUALFORCE
000000000000000AAA,VISUALFORCE-FORMATDURATION,FORMATDURATION,VISUALFORCE
000000000000000AAA,VISUALFORCE-FROMUNIXTIME,FROMUNIXTIME,VISUALFORCE
000000000000000AAA,VISUALFORCE-GETRECORDIDS,GETRECORDIDS,VISUALFORCE
000000000000000AAA,VISUALFORCE-GETSESSIONID,GETSESSIONID,VISUALFORCE
000000000000000AAA,VISUALFORCE-HOUR,HOUR,VISUALFORCE
000000000000000AAA,VISUALFORCE-HTMLENCODE,HTMLENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-IF,IF,VISUALFORCE
000000000000000AAA,VISUALFORCE-INITCAP,INITCAP,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISBLANK,ISBLANK,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISNULL,ISNULL,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISNUMBER,ISNUMBER,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISOWEEK,ISOWEEK,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISOYEAR,ISOYEAR,VISUALFORCE
000000000000000AAA,VISUALFORCE-ISPICKVAL,ISPICKVAL,VISUALFORCE
000000000000000AAA,VISUALFORCE-JSENCODE,JSENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-JSINHTMLENCODE,JSINHTMLENCODE,VISUALFORCE
000000000000000AAA,VISUALFORCE-LEFT,LEFT,VISUALFORCE
000000000000000AAA,VISUALFORCE-LEN,LEN,VISUALFORCE
000000000000000AAA,VISUALFORCE-LINKTO,LINKTO,VISUALFORCE
