Id,MetricsDate,PageName,Browser,SystemModstamp,RecordCountEPT,TotalCount,SumEPT,EptBinUnder3,EptBin3To5,EptBin5To8,EptBin8To10,EptBinOver10
3mKdM000000DqVWUA0,2024-07-10,Properti__c Record,CHROME,1720669437000,4,10,3891,4,0,0,0,0
3mKdM000000Dr9gUAC,2024-07-10,Opportunity Record List,CHROME,1720669437000,1,1,1062,1,0,0,0,0
3mKdM000000DrGzUAK,2024-07-10,Contact sfa:inspectionDesktopObjectHome,CHROME,1720669437000,0,3,0,0,0,0,0,0
3mKdM000000DsH0UAK,2024-07-10,Properti__c Record List,CHROME,1720669437000,5,6,4373,5,0,0,0,0
3mKdM000000DuKbUAK,2024-07-10,Opportunity sfa:inspectionDesktopObjectHome,CHROME,1720669437000,0,1,0,0,0,0,0,0
3mKdM000000DuusUAC,2024-07-10,trlhdtips__Welcome Custom Lightning Component,CHROME,1720669437000,4,4,3612,4,0,0,0,0
3mKdM000000DxB5UAK,2024-07-10,Contact runtime_platform_actions:quickActionWrapper,CHROME,1720669437000,1,2,1281,1,0,0,0,0
3mKdM000000Dxc8UAC,2024-07-10,trlhdtips__Install_a_Package Custom Lightning Component,CHROME,1720669437000,1,1,648,1,0,0,0,0
3mKdM000000DySFUA0,2024-07-10,onesetup:setupAlohaPage,CHROME,1720669437000,8,10,13495,8,0,0,0,0
3mKdM000000DyjGUAS,2024-07-10,Home,CHROME,1720669437000,9,15,17603,8,1,0,0,0
3mKdM000000DyllUAC,2024-07-10,Opportunity runtime_platform_actions:quickActionWrapper,CHROME,1720669437000,2,2,2337,2,0,0,0,0
3mKdM000000DyvUUAS,2024-07-10,objectManager:objectDetailPage,CHROME,1720669437000,39,40,50663,39,0,0,0,0
3mKdM000000DztwUAC,2024-07-10,Properti__c one:recordActionWrapper,CHROME,1720669437000,4,4,7754,2,2,0,0,0
3mKdM000000E0nsUAC,2024-07-10,support:incidentMgmt,CHROME,1720669437000,1,1,515,1,0,0,0,0
3mKdM000000E2x4UAC,2024-07-10,objectManager:setupAlohaPage,CHROME,1720669437000,4,5,5111,4,0,0,0,0
3mKdM000000E3D7UAK,2024-07-10,Contact runtime_pipeline_inspector:pipelineInspectorHome,CHROME,1720669437000,0,6,0,0,0,0,0,0
3mKdM000000E3sEUAS,2024-07-10,objectManager:objectList,CHROME,1720669437000,11,11,10442,11,0,0,0,0
3mKdM000000E4roUAC,2024-07-10,onesetup:baseHomePage,CHROME,1720669437000,11,12,14315,11,0,0,0,0
3mKdM000000E6IxUAK,2024-07-10,Contact Record,CHROME,1720669437000,2,2,5140,2,0,0,0,0
3mKdM000000E6klUAC,2024-07-10,Settings app_flexipage:lwcAppFlexipageWrapper,CHROME,1720669437000,1,1,778,1,0,0,0,0
3mKdM000000E80uUAC,2024-07-11,Account sfa:inspectionDesktopObjectHome,CHROME,1720760245000,0,7,0,0,0,0,0,0
3mKdM000000E8VLUA0,2024-07-11,Contact Record,CHROME,1720760245000,2,5,3176,2,0,0,0,0
3mKdM000000E8z2UAC,2024-07-11,Energy_Audits__r Related Lists,CHROME,1720760245000,2,3,1411,2,0,0,0,0
3mKdM000000E981UAC,2024-07-11,onesetup:setupAlohaPage,CHROME,1720760245000,5,7,8166,5,0,0,0,0
3mKdM000000EAXBUA4,2024-07-11,Energy_Audit__c Record,CHROME,1720760245000,6,11,9386,5,1,0,0,0
3mKdM000000EBb0UAG,2024-07-11,Home,CHROME,1720760245000,3,11,4727,3,0,0,0,0
3mKdM000000EBn3UAG,2024-07-11,objectManager:objectDetailPage,CHROME,1720760245000,61,74,89262,58,3,0,0,0
3mKdM000000ECfHUAW,2024-07-11,Energy_Audit__c objectManager:lookupRedirect,CHROME,1720760245000,0,1,0,0,0,0,0,0
3mKdM000000EDrxUAG,2024-07-11,Account Record List,CHROME,1720760245000,5,11,5862,5,0,0,0,0
3mKdM000000EEQeUAO,2024-07-11,Account Record,CHROME,1720760245000,3,9,6187,3,0,0,0,0
3mKdM000000EEn6UAG,2024-07-11,Energy_Audit__c one:recordActionWrapper,CHROME,1720760245000,2,5,5117,1,1,0,0,0
3mKdM000000EF8jUAG,2024-07-11,Energy_Audit__c Record List,CHROME,1720760245000,4,5,5187,4,0,0,0,0
3mKdM000000EF96UAG,2024-07-11,objectManager:setupAlohaPage,CHROME,1720760245000,0,1,0,0,0,0,0,0
3mKdM000000EFjuUAG,2024-07-11,objectManager:lookupRedirect,CHROME,1720760245000,0,1,0,0,0,0,0,0
3mKdM000000EFusUAG,2024-07-11,Opportunity one:recordActionWrapper,CHROME,1720760245000,1,1,4885,0,1,0,0,0
3mKdM000000EG8VUAW,2024-07-11,onesetup:baseHomePage,CHROME,1720760245000,7,13,10095,7,0,0,0,0
3mKdM000000EGDxUAO,2024-07-11,Contact one:recordActionWrapper,CHROME,1720760245000,1,1,1193,1,0,0,0,0
3mKdM000000EGVPUA4,2024-07-11,setupnav:appManager,CHROME,1720760245000,1,1,3205,0,1,0,0,0
3mKdM000000EHSrUAO,2024-07-11,Contact runtime_pipeline_inspector:pipelineInspectorHome,CHROME,1720760245000,0,6,0,0,0,0,0,0
3mKdM000000EHokUAG,2024-07-11,objectManager:objectList,CHROME,1720760245000,7,12,8133,7,0,0,0,0
3mKdM000000ELc9UAG,2024-07-11,Opportunity Record List,CHROME,1720760245000,1,5,1694,1,0,0,0,0
3mKdM000000ELk5UAG,2024-07-11,Contact sfa:inspectionDesktopObjectHome,CHROME,1720760245000,0,3,0,0,0,0,0,0
3mKdM000000EOETUA4,2024-07-11,ContentDocument Files,CHROME,1720760245000,0,1,0,0,0,0,0,0
3mKdM000000EOlAUAW,2024-07-11,Opportunity sfa:inspectionDesktopObjectHome,CHROME,1720760245000,0,1,0,0,0,0,0,0
3mKdM000000EQMfUAO,2024-07-12,Contact sfa:inspectionDesktopObjectHome,CHROME,1720842627000,0,1,0,0,0,0,0,0
