Id,MetricsDate,FlexiPageType,FlexiPageNameOrId,SystemModstamp,RecordCountEPT,TotalCount,MedianEPT,SumEPT,EptBinUnder3,EptBin3To5,EptBin5To8,EptBin8To10,EptBinOver10,CoresBinUnder2,CoresBin2To4,CoresBin4To8,CoresBinOver8,DownlinkBinUnder3,DownlinkBin3To5,DownlinkBin5To8,DownlinkBin8To10,DownlinkBinOver10,RttBinUnder50,RttBin50To150,RttBinOver150
7pVdM0000003EOSUA2,2024-07-10,UtilityBar,0M0dM000001HdlxSAC,2024-07-11T03:43:56Z,4,4,886,3612,4,0,0,0,0,0,0,4,0,1,0,1,2,0,2,2,0
7pVdM0000003EiEUAU,2024-07-10,HomePage,home__desktopDefault,2024-07-11T03:43:56Z,5,6,1483,6786,5,0,0,0,0,0,0,6,0,0,2,2,2,0,1,5,0
7pVdM0000003Ek5UAE,2024-07-10,EasyHomePage,runtime_sales_seller_home__SellerHome_L,2024-07-11T03:43:56Z,1,1,2234,2234,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
7pVdM0000003FVKUA2,2024-07-10,UtilityBar,0M0dM000001HdlySAC,2024-07-11T03:43:56Z,3,6,2864,8583,2,1,0,0,0,0,0,6,0,0,0,1,5,0,6,0,0
7pVdM0000003FVcUAM,2024-07-10,RecordPage,flexipage__default_rec_L,2024-07-11T03:43:56Z,3,3,1078,3614,3,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0
7pVdM0000003G2PUAU,2024-07-10,RecordPage,sfa__Contact_rec_L,2024-07-11T03:43:56Z,2,2,2570,5140,2,0,0,0,0,0,0,2,0,0,0,1,1,0,1,1,0
7pVdM0000003HunUAE,2024-07-10,AppPage,0M0dM000001HfcWSAS,2024-07-11T03:43:56Z,1,1,778,778,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
7pVdM0000003Ia2UAE,2024-07-11,RecordPage,sfa__Account_rec_L,2024-07-12T04:57:20Z,2,5,1794,3588,2,0,0,0,0,0,0,5,0,0,0,0,5,0,5,0,0
7pVdM0000003IiqUAE,2024-07-11,UtilityBar,0M0dM000001HdlySAC,2024-07-12T04:57:20Z,5,12,2008,9741,5,0,0,0,0,0,0,12,0,0,0,1,11,0,10,2,0
7pVdM0000003IjIUAU,2024-07-11,RecordPage,flexipage__default_rec_L,2024-07-12T04:57:20Z,3,7,834,2587,3,0,0,0,0,0,0,7,0,0,0,1,6,0,5,2,0
