Id,Name,DeveloperName,NamespacePrefix,SobjectType,IsSoqlCompatible,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastViewedDate,LastReferencedDate
00BdM000009ePuLUAU,Private Reports,PrivateReports,,Report,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuPUAU,Created by Me,CreatedByMe,,Report,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuQUAU,Public Reports,PublicReports,,Report,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePuRUAU,All Reports,AllReports,,Report,True,1720590630000,005dM000004WWvKQAW,1720590630000,005dM000004WWvKQAW,1720590630000,,
00BdM000009ePtqUAE,All Active Campaigns,AllActiveCampaigns,,Campaign,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009f4IpUAI,My Active Campaigns,MyActiveCampaigns,,Campaign,True,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
00BdM000009fHyzUAE,All,All,,Broker__c,True,1720591799000,005dM000004WE3FQAW,1720591799000,005dM000004WE3FQAW,1720591799000,,
00BdM000009fHz0UAE,All,All,,Property__c,True,1720591799000,005dM000004WE3FQAW,1720591799000,005dM000004WE3FQAW,1720591799000,,
00BdM000009fRryUAE,All,All,,Properti__c,True,1720596955000,005dM000004WE3FQAW,1720596955000,005dM000004WE3FQAW,1720596955000,,
00BdM000009hhVyUAI,All,All,,Offer__c,True,1720604403000,005dM000004WE3FQAW,1720604403000,005dM000004WE3FQAW,1720604403000,,
00BdM000009hpvsUAA,All,All,,Favorite__c,True,1720605237000,005dM000004WE3FQAW,1720605237000,005dM000004WE3FQAW,1720605237000,,
00BdM000009rQbyUAE,All,All,,Energy_Audit__c,True,1720675950000,005dM000004WE3FQAW,1720675950000,005dM000004WE3FQAW,1720675950000,1720701992000.0,1720701992000.0
00BdM00000BQC8sUAH,All,All,,Suggestion__c,True,1721713961000,005dM000004WE3FQAW,1721713961000,005dM000004WE3FQAW,1721713961000,1721715358000.0,1721715358000.0
00BdM00000BcS5TUAV,All,All,,Data_Type__c,True,1721885272000,005dM000004WE3FQAW,1721885272000,005dM000004WE3FQAW,1721885272000,,
00BdM00000C21E9UAJ,All Records,All,,House__c,True,1722320726000,005dM000004WE3FQAW,1722320739000,005dM000004WE3FQAW,1722320739000,1722323365000.0,1722323365000.0
00BdM000009f4JJUAY,All,AllAccountSharing,,,False,1720590630000,005dM000004WE3FQAW,1720590630000,005dM000004WE3FQAW,1720590630000,,
