Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,Priority__c,Account__c,End_Date__c,Start_Date__c,Customer_Account__c,Budget__c
a06dM000002jENRQA2,005dM000004WE3FQAW,False,demo_project,1721738764000,005dM000004WE3FQAW,1721738764000,005dM000004WE3FQAW,1721738764000,,001dM00000HE7HoQAL,,,,
a06dM0000042jldQAA,005dM000004WE3FQAW,False,Project YellowStone,1725863566000,005dM000004WE3FQAW,1725863566000,005dM000004WE3FQAW,1725863566000,High,,2024-10-24,2024-09-09,,
a06dM0000042jleQAA,005dM000004WE3FQAW,False,Project Yosemite3,1725863567000,005dM000004WE3FQAW,1725863567000,005dM000004WE3FQAW,1725863567000,,,,,001dM00000TM9xFQAT,
a06dM0000042lgzQAA,005dM000004WE3FQAW,False,Project Yosemite2,1725863534000,005dM000004WE3FQAW,1725863534000,005dM000004WE3FQAW,1725863534000,,,,,001dM00000TMAZVQA5,
a06dM0000042nSAQAY,005dM000004WE3FQAW,False,Project Yosemite5,1725863535000,005dM000004WE3FQAW,1725863535000,005dM000004WE3FQAW,1725863535000,,,,,001dM00000TLSSEQA5,
a06dM0000042pKHQAY,005dM000004WE3FQAW,False,Project YellowStone,1725862440000,005dM000004WE3FQAW,1725862440000,005dM000004WE3FQAW,1725862440000,High,,2024-10-24,,,
a06dM0000042pQjQAI,005dM000004WE3FQAW,False,Project YellowStone,1725862507000,005dM000004WE3FQAW,1725862507000,005dM000004WE3FQAW,1725862507000,High,,2024-10-24,2024-09-09,,
a06dM0000042qqLQAQ,005dM000004WE3FQAW,False,Project YellowStone,1725863533000,005dM000004WE3FQAW,1725863533000,005dM000004WE3FQAW,1725863533000,High,,2024-10-24,2024-09-09,,
a06dM0000042qtaQAA,005dM000004WE3FQAW,False,Project Yosemite2,1725863566000,005dM000004WE3FQAW,1725863566000,005dM000004WE3FQAW,1725863566000,,,,,001dM00000TLMNAQA5,
a06dM0000042r7ZQAQ,005dM000004WE3FQAW,False,Project YellowStone,1725863384000,005dM000004WE3FQAW,1725863384000,005dM000004WE3FQAW,1725863384000,High,,2024-10-24,2024-09-09,,
a06dM0000042rXNQAY,005dM000004WE3FQAW,False,Project Yosemite1,1725863534000,005dM000004WE3FQAW,1725863534000,005dM000004WE3FQAW,1725863534000,,,,,001dM00000TMAXtQAP,
a06dM0000042rYzQAI,005dM000004WE3FQAW,False,Project Yosemite3,1725863535000,005dM000004WE3FQAW,1725863535000,005dM000004WE3FQAW,1725863535000,,,,,001dM00000TLxgPQAT,
a06dM0000042rabQAA,005dM000004WE3FQAW,False,Project Yosemite4,1725863535000,005dM000004WE3FQAW,1725863535000,005dM000004WE3FQAW,1725863535000,,,,,001dM00000TLrDWQA1,
a06dM0000042rh3QAA,005dM000004WE3FQAW,False,Project Yosemite1,1725863566000,005dM000004WE3FQAW,1725863566000,005dM000004WE3FQAW,1725863566000,,,,,001dM00000TMAWIQA5,
a06dM0000042rltQAA,005dM000004WE3FQAW,False,Project Yosemite4,1725863567000,005dM000004WE3FQAW,1725863567000,005dM000004WE3FQAW,1725863567000,,,,,001dM00000TMB2XQAX,
a06dM0000042rnVQAQ,005dM000004WE3FQAW,False,Project Yosemite5,1725863567000,005dM000004WE3FQAW,1725863567000,005dM000004WE3FQAW,1725863567000,,,,,001dM00000TMBIfQAP,
a06dM00000431XFQAY,005dM000004WE3FQAW,False,Project Yosemite3,1725875499000,005dM000004WE3FQAW,1725875499000,005dM000004WE3FQAW,1725875499000,,,,,001dM00000TNwXIQA1,
a06dM00000432B4QAI,005dM000004WE3FQAW,False,Project Yosemite4,1725872954000,005dM000004WE3FQAW,1725872954000,005dM000004WE3FQAW,1725872954000,,,,,001dM00000TNgp3QAD,
a06dM00000432MrQAI,005dM000004WE3FQAW,False,Project Yosemite2,1725872933000,005dM000004WE3FQAW,1725872933000,005dM000004WE3FQAW,1725872933000,,,,,001dM00000TN1AqQAL,
a06dM00000432t7QAA,005dM000004WE3FQAW,False,Project Yosemite2,1725873013000,005dM000004WE3FQAW,1725873013000,005dM000004WE3FQAW,1725873013000,,,,,001dM00000TN1ArQAL,
a06dM00000433FCQAY,005dM000004WE3FQAW,False,Project Yosemite1,1725872546000,005dM000004WE3FQAW,1725872546000,005dM000004WE3FQAW,1725872546000,,,,,001dM00000TNAIxQAP,
a06dM00000433XRQAY,005dM000004WE3FQAW,False,Project Yosemite4,1725872547000,005dM000004WE3FQAW,1725872547000,005dM000004WE3FQAW,1725872547000,,,,,001dM00000TNY9yQAH,
a06dM00000433XSQAY,005dM000004WE3FQAW,False,Project YellowStone,1725872636000,005dM000004WE3FQAW,1725872636000,005dM000004WE3FQAW,1725872636000,High,,2024-10-24,2024-09-09,,
a06dM00000433f0QAA,005dM000004WE3FQAW,False,Project Yosemite5,1725873014000,005dM000004WE3FQAW,1725873014000,005dM000004WE3FQAW,1725873014000,Medium,,2020-10-01,2020-05-15,001dM00000TNUvzQAH,300000.0
a06dM00000433qoQAA,005dM000004WE3FQAW,False,Project YellowStone,1725872545000,005dM000004WE3FQAW,1725872545000,005dM000004WE3FQAW,1725872545000,High,,2024-10-24,2024-09-09,,
