Id,IsDeleted,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,ParentId,MasterLabel,Description,DisplayType,DisplayPosition,TimesToDisplay,DelayDays,StartDate,EndDate,UserAccess,IsPublished,PublishedDate,PublishedByUserId,Header,DismissButtonLabel,ShouldDisplayActionButton,ActionButtonLabel,ActionButtonLink,Title,VersionNumber,TargetPageType,TargetPageKey1,TargetPageKey2,TargetAppNamespacePrefix,TargetAppDeveloperName,Body,ShouldIgnoreGlobalDelay,UserProfileAccess,VideoLink,StepNumber,ThemeColor,ThemeSaturation,TargetPageKey1Ref,ImageAltText,ImageId,ImageLink,ImageLocation,TargetPageKey3,ElementRelativePosition,ReferenceElementContext,IndexWithIsPublished,IndexWithoutIsPublished,TargetPageKey4,TargetRecordTypeId,ExperienceContextId,Experience
0btdM000004GM2HQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITpQAO,Property Step 1,,FloatingPanel,BottomLeft,1.0,1.0,2020-06-29,,Everyone,True,2024-07-10,005dM000004WE3FQAW,,Close,False,,,Days on the Market,1,standard__recordPage,Property__c,view,,Dreamhouse,"On the Property record page, we have a component that displays the number of days a property has been on the market. This is a pretty important detail for sales reps!",True,Everyone,,1.0,,,01IdM000001S6MtUAK,,,,,,,,T__Dreamhouse_standard__recordPage,_Dreamhouse_standard__recordPage_Property__c_view,,,,
0btdM000004GM2IQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITpQAO,Property Step 2,,FloatingPanel,BottomRight,,,,,Everyone,False,,,,Close,False,,,Component Reuse,1,standard__recordPage,Property__c,view,,Dreamhouse,"On the right, we reuse the map component that we have in Property Explorer. Reusability is a great benefit of a component-based development model.",True,Everyone,,2.0,,,01IdM000001S6MtUAK,,,,,,,,F__Dreamhouse_standard__recordPage,_Dreamhouse_standard__recordPage_Property__c_view,,,,
0btdM000004GM2JQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITpQAO,Property Step 3,,FloatingPanel,BottomCenter,,,,,Everyone,False,,,,Close,False,,,Mobile,1,standard__recordPage,Property__c,view,,Dreamhouse,Dreamhouse sample app is designed to work nicely on mobile. Consider logging into the Salesforce Mobile app and checking it out!,True,Everyone,,3.0,,,01IdM000001S6MtUAK,,,,,,,,F__Dreamhouse_standard__recordPage,_Dreamhouse_standard__recordPage_Property__c_view,,,,
0btdM000004GM2KQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITpQAO,Property Step 4,,FloatingPanel,TopCenter,,,,,Everyone,False,,,,Close,True,Code Tours,https://github.com/trailheadapps/dreamhouse-lwc#code-tours,Wrapping It Up,1,standard__recordPage,Property__c,view,,Dreamhouse,You've now completed the Dreamhouse sample app tour. <b>We hope that you've enjoyed the trip! </b> Take a look at VS Code's code tours to learn more about the app's code.,True,Everyone,,4.0,,,01IdM000001S6MtUAK,,,,,,,,F__Dreamhouse_standard__recordPage,_Dreamhouse_standard__recordPage_Property__c_view,,,,
0btdM000004GM2LQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITqQAO,Property Explorer Step 1,,FloatingPanel,BottomLeft,1.0,1.0,2020-06-29,,Everyone,True,2024-07-10,005dM000004WE3FQAW,,Close,False,,,Welcome to Dreamhouse Sample App!,1,standard__navItemPage,Property_Explorer,,,Dreamhouse,Dreamhouse is a fictitious real estate company that manages its properties and brokers using the Salesforce Platform.,True,Everyone,,1.0,,,01rdM000008jsw6QAA,,,,,,,,T__Dreamhouse_standard__navItemPage,_Dreamhouse_standard__navItemPage_Property_Explorer_,,,,
0btdM000004GM2MQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITqQAO,Property Explorer Step 2,,FloatingPanel,BottomLeft,,,,,Everyone,False,,,,Close,False,,,Property Explorer,1,standard__navItemPage,Property_Explorer,,,Dreamhouse,"Sales reps use the ""Property Explorer"" page to look for properties based on certain filters.<br /><br /> Change some filters on the left to filter properties. Then, click on any of the properties to see its details.",True,Everyone,,2.0,,,01rdM000008jsw6QAA,,,,,,,,F__Dreamhouse_standard__navItemPage,_Dreamhouse_standard__navItemPage_Property_Explorer_,,,,
0btdM000004GM2NQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITqQAO,Property Explorer Step 3,,FloatingPanel,BottomLeft,,,,,Everyone,False,,,,Close,False,,,App Builder,1,standard__navItemPage,Property_Explorer,,,Dreamhouse,"This page is composed of Lightning web components arranged in App Builder. App Builder lets you easily reorganize components, change the page layout, add visibility filters and more.",True,Everyone,,3.0,,,01rdM000008jsw6QAA,,,,,,,,F__Dreamhouse_standard__navItemPage,_Dreamhouse_standard__navItemPage_Property_Explorer_,,,,
0btdM000004GM2OQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITqQAO,Property Explorer Step 4,,FloatingPanel,BottomLeft,,,,,Everyone,False,,,,Close,False,,,Lightning Message Service,1,standard__navItemPage,Property_Explorer,,,Dreamhouse,"Components communicate using <a href=""https://developer.salesforce.com/docs/component-library/bundle/lightning-message-service"" target=""_blank"">Lightning Message Service</a>. This allows to craft loosely coupled, reusable components.",True,Everyone,,4.0,,,01rdM000008jsw6QAA,,,,,,,,F__Dreamhouse_standard__navItemPage,_Dreamhouse_standard__navItemPage_Property_Explorer_,,,,
0btdM000004GM2PQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITqQAO,Property Explorer Step 5,,FloatingPanel,BottomCenter,,,,,Everyone,False,,,,Close,False,,,Property List Component,1,standard__navItemPage,Property_Explorer,,,Dreamhouse,The component in the center of the screen retrieves a paginated and responsive list of properties. Try to resize the browser to verify it!,True,Everyone,,5.0,,,01rdM000008jsw6QAA,,,,,,,,F__Dreamhouse_standard__navItemPage,_Dreamhouse_standard__navItemPage_Property_Explorer_,,,,
0btdM000004GM2QQAW,False,1720591808000,005dM000004WE3FQAW,1720591808000,005dM000004WE3FQAW,1720591811000,0bsdM000001XITqQAO,Property Explorer Step 6,,FloatingPanel,BottomRight,,,,,Everyone,False,,,,Close,False,,,lightning-map,1,standard__navItemPage,Property_Explorer,,,Dreamhouse,"The map on the right is built using the <a href=""https://developer.salesforce.com/docs/component-library/bundle/lightning-map/example"" target=""_blank"">lightning-map</a> base component, a very handy way to show property locations.",True,Everyone,,6.0,,,01rdM000008jsw6QAA,,,,,,,,F__Dreamhouse_standard__navItemPage,_Dreamhouse_standard__navItemPage_Property_Explorer_,,,,
