Id,DurableId,Name,NamespacePrefix,IsSalesforce,MajorVersion,MinorVersion
000000000000000AAA,PerformanceTools,PerformanceTools,,True,0,0
000000000000000AAA,CommonEvent,CommonEvent,,True,0,0
000000000000000AAA,SfdcTestPackage,SfdcTestPackage,SfdcTest,True,0,0
000000000000000AAA,EventLogFiles,EventLogFiles,,True,0,0
000000000000000AAA,MetadataCatalog,MetadataCatalog,,True,0,0
000000000000000AAA,Conduit,Conduit,,True,0,0
000000000000000AAA,PlatformMonitoring,PlatformMonitoring,,True,0,0
000000000000000AAA,trlhdtips,salesforce,trlhdtips,False,2,5
000000000000000AAA,EinsteinAppAnalytics,EinsteinAppAnalytics,,True,0,0
000000000000000AAA,prompts072020,Salesforce.com,prompts072020,False,1,0
000000000000000AAA,Pardot,Pardot,pi,True,0,0
000000000000000AAA,GoogleConnector,GoogleConnector,,True,0,0
000000000000000AAA,Lma,Lma,sfLma,True,0,0
000000000000000AAA,Evernote,Evernote,Evernote,True,0,0
000000000000000AAA,ExternalEmail,ExternalEmail,,True,0,0
000000000000000AAA,Radian6,Radian6,R6,True,0,0
000000000000000AAA,prompts112019,Salesforce,prompts112019,False,1,1
000000000000000AAA,Gridforce,Gridforce,,True,0,0
000000000000000AAA,KnowledgeGeneration,KnowledgeGeneration,,True,0,0
000000000000000AAA,SocialCustomerService,SocialCustomerService,SocialService,True,0,0
000000000000000AAA,RyppleCorp,RyppleCorp,rypple_corp,True,0,0
000000000000000AAA,,Packaging Org: Salesforce Adoption Dashboards,,False,1,0
000000000000000AAA,<local>,<local>,<local>,False,0,0
000000000000000AAA,EC2Community,EC2Community,EC2Comm,True,0,0
000000000000000AAA,HawkingAppIntegration,HawkingAppIntegration,,True,0,0
000000000000000AAA,MyTrailhead,MyTrailhead,,True,0,0
000000000000000AAA,ReadOnly,ReadOnly,,True,0,0
000000000000000AAA,EmailStream,EmailStream,,True,0,0
000000000000000AAA,SfInfoModel,SfInfoModel,SIM,True,0,0
000000000000000AAA,UddCache,UddCache,,True,0,0
000000000000000AAA,ContentHub,ContentHub,,True,0,0
000000000000000AAA,AsyncQuery,AsyncQuery,,True,0,0
000000000000000AAA,Radian6Community,Radian6Community,R6Comm,True,0,0
000000000000000AAA,Limits,Limits,,True,0,0
000000000000000AAA,prompts102019,Salesforce,prompts102019,False,1,1
000000000000000AAA,EinsteinBuilder,EinsteinBuilder,,True,0,0
000000000000000AAA,vcs,vcs,,True,0,0
000000000000000AAA,EinsteinAgent,EinsteinAgent,,True,0,0
000000000000000AAA,sf_com_apps,Salesforce.com,sf_com_apps,False,1,7
000000000000000AAA,System,System,,True,0,0
000000000000000AAA,EinsteinALM,EinsteinALM,,True,0,0
000000000000000AAA,EinsteinIntelligentOffers,EinsteinIntelligentOffers,,True,0,0
000000000000000AAA,PlatformMetrics,PlatformMetrics,,True,0,0
000000000000000AAA,Archive,Archive,,True,0,0
000000000000000AAA,EinsteinFoundation,EinsteinFoundation,,True,0,0
000000000000000AAA,Radian6Service,Radian6Service,R6Service,True,0,0
000000000000000AAA,CDC,CDC,,True,0,0
000000000000000AAA,JigsawClean,JigsawClean,jigsaw_clean,True,0,0
000000000000000AAA,,Salesforce,,False,55,0
000000000000000AAA,Deskcom,Deskcom,Deskcom,True,0,0
000000000000000AAA,Pliny,Pliny,,True,0,0
000000000000000AAA,GenieDataModelRecs,GenieDataModelRecs,,True,0,0
000000000000000AAA,EinsteinDataDiscovery,EinsteinDataDiscovery,,True,0,0
000000000000000AAA,PlatformEventMetricsType,PlatformEventMetricsType,,True,0,0
