Id,Action,Section,CreatedDate,CreatedById,Display,DelegateUser,ResponsibleNamespacePrefix,CreatedByContext,CreatedByIssuer
0YmdM0000048ALgSAM,secureGuestUserRecordAccessEnabled,Sharing Defaults,1720590750000,005dM000004WE3FQAW,Enabled Secure Guest User Record Access,,,,
0YmdM0000048ALhSAM,value_CASE_FEEDS_JOB_STATUS,,1720590750000,005dM000004WE3FQAW,Case Feeds Job Status,,,,
0YmdM0000048ALiSAM,value_CASE_FEEDS_PROCESSING_STATE,,1720590750000,005dM000004WE3FQAW,Case Feeds Processing State,,,,
0YmdM0000048ALjSAM,externalSharingModelEnabled,Sharing Defaults,1720590768000,005dM000004WE3FQAW,Enabled External Sharing Model,,,,
0YmdM0000048ALkSAM,inviteCsnUserEnabledOnOff,,1720590845000,005dM000004WE3FQAW,Organization setup action: inviteCsnUserEnabledOnOff has changed.,,,,
0YmdM0000048EAhSAM,createdCF,Customize Contacts,1720592219000,005dM000004WE3FQAW,Created custom field: Prequalified? (Checkbox),,,,
0YmdM0000048EAiSAM,contactlayout,Customize Contacts,1720592219000,005dM000004WE3FQAW,Changed Contact page layout Contact (Marketing) Layout,,,,
0YmdM0000048EAjSAM,contactlayout,Customize Contacts,1720592219000,005dM000004WE3FQAW,Changed Contact page layout Contact (Sales) Layout,,,,
0YmdM0000048EAkSAM,contactlayout,Customize Contacts,1720592219000,005dM000004WE3FQAW,Changed Contact page layout Contact (Support) Layout,,,,
0YmdM0000048EAlSAM,contactlayout,Customize Contacts,1720592219000,005dM000004WE3FQAW,Changed Contact page layout Contact Layout,,,,
0YmdM0000048Ha3SAE,createdCustEnt,Custom Objects,1720596876000,005dM000004WE3FQAW,Created custom object: Properti,,,,
0YmdM0000048K2oSAE,createdStaticResource,Static Resource,1720591796000,005dM000004WE3FQAW,Created Static Resource leaflet,,,,
0YmdM0000048K2pSAE,createdStaticResource,Static Resource,1720591796000,005dM000004WE3FQAW,Created Static Resource sample_data_brokers,,,,
0YmdM0000048K2qSAE,createdStaticResource,Static Resource,1720591796000,005dM000004WE3FQAW,Created Static Resource sample_data_contacts,,,,
0YmdM0000048K2rSAE,createdStaticResource,Static Resource,1720591796000,005dM000004WE3FQAW,Created Static Resource sample_data_properties,,,,
0YmdM0000048K2sSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created barcodeScanner Lightning Web Component,,,,
0YmdM0000048K2tSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created brokerCard Lightning Web Component,,,,
0YmdM0000048K2uSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created daysOnMarket Lightning Web Component,,,,
0YmdM0000048K2vSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created errorPanel Lightning Web Component,,,,
0YmdM0000048K2wSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created ldsUtils Lightning Web Component,,,,
0YmdM0000048K2xSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created navigateToRecord Lightning Web Component,,,,
0YmdM0000048K2ySAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created paginator Lightning Web Component,,,,
0YmdM0000048K2zSAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertyCarousel Lightning Web Component,,,,
0YmdM0000048K30SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertyFilter Lightning Web Component,,,,
0YmdM0000048K31SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertyLocation Lightning Web Component,,,,
0YmdM0000048K32SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertyMap Lightning Web Component,,,,
0YmdM0000048K33SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertySummary Lightning Web Component,,,,
0YmdM0000048K34SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertyTile Lightning Web Component,,,,
0YmdM0000048K35SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created propertyTileList Lightning Web Component,,,,
0YmdM0000048K36SAE,createdLightningWebComponent,Lightning Components,1720591796000,005dM000004WE3FQAW,Created sampleDataImporter Lightning Web Component,,,,
