Id,DurableId,Name,Label,IsCustom,SobjectName,Url,IsAvailableInAloha,IsAvailableInLightning,IsAvailableInMobile,IsAvailableInDesktop,MobileUrl
000000000000000AAA,Account,standard-Account,Accounts,False,Account,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/001/o,True,True,True,True,
000000000000000AAA,AlternativePaymentMethod,standard-AlternativePaymentMethod,Alternative Payment Methods,False,AlternativePaymentMethod,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/8Z7/o,True,True,False,True,
000000000000000AAA,AppLauncher,standard-AppLauncher,App Launcher,False,AppLauncher,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/app/mgmt/applauncher/appLauncher.apexp,True,True,False,True,
000000000000000AAA,Asset,standard-Asset,Assets,False,Asset,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/02i/o,True,True,True,True,
000000000000000AAA,AssetAction,standard-AssetAction,Asset Actions,False,AssetAction,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/4nL/o,True,True,True,True,
000000000000000AAA,AssetActionSource,standard-AssetActionSource,Asset Action Sources,False,AssetActionSource,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/4nM/o,True,True,True,True,
000000000000000AAA,AssetStatePeriod,standard-AssetStatePeriod,Asset State Periods,False,AssetStatePeriod,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/4nK/o,True,True,True,True,
000000000000000AAA,AsyncOperationLog,standard-AsyncOperationLog,Async Operation Logs,False,AsyncOperationLog,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/1ao/o,True,True,True,True,
000000000000000AAA,AuthorizationForm,standard-AuthorizationForm,Authorization Form,False,AuthorizationForm,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0cI/o,True,True,True,True,
000000000000000AAA,AuthorizationFormConsent,standard-AuthorizationFormConsent,Authorization Form Consent,False,AuthorizationFormConsent,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0cK/o,True,True,True,True,
000000000000000AAA,AuthorizationFormDataUse,standard-AuthorizationFormDataUse,Authorization Form Data Use,False,AuthorizationFormDataUse,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0cM/o,True,True,True,True,
000000000000000AAA,AuthorizationFormText,standard-AuthorizationFormText,Authorization Form Text,False,AuthorizationFormText,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0cN/o,True,True,True,True,
000000000000000AAA,BackgroundOperation,standard-BackgroundOperation,Background Operations,False,BackgroundOperation,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/08P/o,False,True,True,True,
000000000000000AAA,BatchJob,standard-BatchJob,Batch Jobs,False,BatchJob,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0md/o,False,True,True,True,
000000000000000AAA,BatchJobPart,standard-BatchJobPart,Batch Job Parts,False,BatchJobPart,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0me/o,False,True,True,True,
000000000000000AAA,BatchJobPartFailedRecord,standard-BatchJobPartFailedRecord,Batch Job Part Failed Records,False,BatchJobPartFailedRecord,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0mf/o,False,True,True,True,
000000000000000AAA,BusinessBrand,standard-BusinessBrand,Business Brands,False,BusinessBrand,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/1BU/o,True,True,True,True,
000000000000000AAA,Campaign,standard-Campaign,Campaigns,False,Campaign,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/701/o,True,True,True,True,
000000000000000AAA,CardPaymentMethod,standard-CardPaymentMethod,Card Payment Methods,False,CardPaymentMethod,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/03O/o,True,True,False,True,
000000000000000AAA,Case,standard-Case,Cases,False,Case,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/500/o,True,True,True,True,
000000000000000AAA,ChangeRequest,standard-ChangeRequest,Change Requests,False,ChangeRequest,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0oW/o,False,True,True,True,
000000000000000AAA,Chatter,standard-Chatter,Chatter,False,Chatter,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/_ui/core/chatter/ui/ChatterPage,True,False,True,True,
000000000000000AAA,CmsAuthorHome,standard-CmsAuthorHome,Digital Experiences Home,False,CmsAuthorHome,,False,True,False,True,
000000000000000AAA,CmsContent,standard-CmsContent,Content,False,CmsContent,,False,True,False,True,
000000000000000AAA,CollaborationGroup,standard-CollaborationGroup,Groups,False,CollaborationGroup,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/_ui/core/chatter/groups/GroupListPage,True,True,True,True,
000000000000000AAA,CommSubscription,standard-CommSubscription,Communication Subscriptions,False,CommSubscription,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0Xl/o,True,True,True,True,
000000000000000AAA,CommSubscriptionChannelType,standard-CommSubscriptionChannelType,Communication Subscription Channel Types,False,CommSubscriptionChannelType,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0eB/o,True,True,True,True,
000000000000000AAA,CommSubscriptionConsent,standard-CommSubscriptionConsent,Communication Subscription Consents,False,CommSubscriptionConsent,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0dY/o,True,True,True,True,
000000000000000AAA,CommSubscriptionTiming,standard-CommSubscriptionTiming,Communication Subscription Timings,False,CommSubscriptionTiming,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0al/o,True,True,True,True,
000000000000000AAA,ConsumptionSchedule,standard-ConsumptionSchedule,Consumption Schedules,False,ConsumptionSchedule,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/0Mh/o,True,True,False,True,
000000000000000AAA,Contact,standard-Contact,Contacts,False,Contact,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/003/o,True,True,True,True,
