Id,AppMenuItemId,ApplicationId,Label,Description,Name,UserSortOrder,SortOrder,Type,LogoUrl,IconUrl,InfoUrl,StartUrl,MobileStartUrl,IsVisible,IsUsingAdminAuthorization
07pdM000000fvjtQAA,0DSdM000001UIq9WAG,02udM000004AcbFQAS,Digital Experiences,Manage content and media for all of your sites.,SalesforceCMS,,25,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesforceCMS/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesforceCMS/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbF,,True,True
07pdM000000fvjuQAA,0DSdM000001UIqJWAW,02udM000004AcbHQAS,All Tabs,,AllTabSet,,36,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/img/seasonLogos/Summer_24_275x55.gif,,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbH,,True,True
07pdM000000fvjvQAA,0DSdM000001UIqMWAW,02udM000004AcbKQAS,Playground Starter,Get started with your Trailhead Playground.,Playground_Starter,,39,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.file.force.com/file-asset/trlhdtips__thflogo?v=1,,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbK,,True,True
07pdM000000fvjwQAA,0DSdM000001UIqRWAW,02udM000004AcbDQAS,Sales,The world's most popular sales force automation (SFA) solution,Sales,,2,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/SalesCloud/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbD,,True,True
07pdM000000fvjxQAA,0DSdM000001UIqSWAW,02udM000004AcbPQAS,Service,"Manage customer service with accounts, contacts, cases, and more",Service,,3,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/ServiceCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/ServiceCloud/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbP,,True,True
07pdM000000fvjyQAA,0DSdM000001UIqTWAW,02udM000004AcbQQAS,Marketing CRM Classic,Track sales and marketing efforts with CRM objects.,Marketing,,4,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/MarketingCloud/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/MarketingCloud/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbQ,,True,True
07pdM000000fvjzQAA,0DSdM000001UIqYWAW,02udM000004AcbVQAS,App Launcher,App Launcher tabs,AppLauncher,,9,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/AppLauncher/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/AppLauncher/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/app/mgmt/applauncher/appLauncher.apexp?tsid=02udM000004AcbV,,True,True
07pdM000000fvk0QAA,0DSdM000001UIqZWAW,02udM000004AcbCQAS,Community,Salesforce CRM Communities,Community,,10,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Community/logo.png,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Community/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbC,,True,True
07pdM000000fvk1QAA,0DSdM000001UIqaWAG,02udM000004AcbWQAS,Site.com,"Build pixel-perfect, data-rich websites using the drag-and-drop Site.com application, and manage content and published sites.",Sites,,11,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/app/00DdM0000078k5r/02udM000004AcbWQAS,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Sites/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbW,,True,True
07pdM000000fvk2QAA,0DSdM000001UIqbWAG,02udM000004AcbXQAS,Salesforce Chatter,"The Salesforce Chatter social network, including profiles and feeds",Chatter,,12,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Standard/feed/logo.svg,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Salesforce/Chatter/icon.png,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004AcbX,,True,True
07pdM000000fvk3QAA,0DSdM000001UIqgWAG,02udM000004AcbcQAC,Content,Salesforce CRM Content,Content,,17,TabSet,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/logos/Standard/file/logo.svg,,,https://mindful-narwhal-38mkxl-dev-ed.trailblaze.my.salesforce.com/home/home.jsp?tsid=02udM000004Acbc,,True,True
